1969,33.3750438
1970,30.35332636
1971,27.95074028
1972,30.04934563
1973,28.07064593
1974,30.98331584
1975,31.66099882
1976,39.70603316
1977,32.37657865
1978,44.74700549
1979,39.44397727
1980,42.63381353
1981,21.74827055
1982,20.86703097
1983,21.51574756
1984,24.65829046
1985,31.28972564
1986,29.94154183
1987,30.62432119
1988,31.02565054
1989,30.88243492
1990,18.46001067
1991,17.62494395
1992,14.10827198
1993,17.11717612
1994,22.26539288
1995,18.19473725
1996,22.36028426
1997,19.03984041
1998,12.24934798
1999,13.85173561
2000,13.10735109
2001,15.11559219
2002,17.80401574
2003,23.64751085
2004,19.96039373
2005,10.18248279
2006,20.75760521
2007,18.01957044
2008,11.88397562
2009,16.08874828
2010,18.75573295
2011,14.02021741
2012,10.78382639
2013,15.71775405
2014,12.35938556
2015,8.303570127
